genres,release_date,user_id,recommend,sentiment_analysis,item_id,item_name,playtime_forever
"['action', 'casual', 'indie', 'simulation', 'strategy']",2018,76561198083488994,True,2,550,Left 4 Dead 2,161.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198054465623,True,2,15900,7 Wonders II,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,711armageddoncarmageddon,True,1,218680,Scribblenauts Unlimited,195.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198039441595,False,1,222980,Dead Pixels,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198076548816,True,2,57740,Jagged Alliance - Back in Action,135.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198070775610,True,1,1280,Darkest Hour: Europe '44-'45,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,Qzt,True,2,7770,X-COM: Enforcer,4.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,SwinburnCyphenMisslemike,True,0,4540,Titan Quest,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,wcLorent,True,2,280790,Creativerse,101.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,PotatoMan1,True,2,212680,FTL: Faster Than Light,10.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,__biscuits,True,2,363970,Clicker Heroes,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198052851877,True,2,22370,Fallout 3 - Game of the Year Edition,1814.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,dan_skaf,True,2,232210,Patch testing for Chivalry,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,cheltenham98,True,2,104700,Super Monday Night Combat,1232.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198122867779,True,2,236390,War Thunder,3136.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,frank_1999,True,2,346110,ARK: Survival Evolved,33.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,DocFortress,True,0,6860,Hitman: Blood Money,45.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,breakleaf,True,1,24980,Mass Effect 2,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,MarkoUbi,True,0,6850,Hitman 2: Silent Assassin,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,itsfilfyd,True,2,47790,Medal of Honor(TM) Single Player,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,jaky333,True,2,34450,Sid Meier's Civilization IV: Warlords,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,dream2506,True,1,439940,Lucid9,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198104212010,True,2,400,Portal,31.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,medusameows,True,2,44340,Operation Flashpoint: Red River,0.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198060678959,True,0,245450,Wizardry 8,10.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,76561198049272839,True,2,48700,Mount & Blade: Warband,214.0
"['free to play', 'indie', 'rpg', 'strategy']",2018,Shaa-Li,True,2,331440,bit Dungeon II,129.0
