genres,release_year,playtime_forever
"action, casual, indie, simulation, strategy",2018,1964.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"free to play, indie, rpg, strategy",2018,37.0
"casual, free to play, indie, simulation, sports",2017,0.0
"casual, free to play, indie, simulation, sports",2017,0.0
"casual, free to play, indie, simulation, sports",2017,0.0
"casual, free to play, indie, simulation, sports",2017,0.0
"casual, free to play, indie, simulation, sports",2017,0.0
"action, adventure, casual",2017,309.0
"action, adventure, casual",2017,309.0
"action, adventure, casual",2017,309.0
"action, adventure, casual",2017,309.0
"action, adventure, casual",2017,309.0
"action, adventure, casual",2017,309.0
"action, adventure, casual",2017,309.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
"action, adventure, simulation",2018,567.0
