genres,release_year,playtime_forever,user_id
"action, casual, indie, simulation, strategy",2018,1964.0,76561198083488994
"free to play, indie, rpg, strategy",2018,37.0,76561198054465623
"free to play, indie, rpg, strategy",2018,37.0,711armageddoncarmageddon
"free to play, indie, rpg, strategy",2018,37.0,76561198039441595
"free to play, indie, rpg, strategy",2018,37.0,76561198076548816
"free to play, indie, rpg, strategy",2018,37.0,76561198070775610
"free to play, indie, rpg, strategy",2018,37.0,Qzt
"free to play, indie, rpg, strategy",2018,37.0,SwinburnCyphenMisslemike
"free to play, indie, rpg, strategy",2018,37.0,wcLorent
"free to play, indie, rpg, strategy",2018,37.0,PotatoMan1
"free to play, indie, rpg, strategy",2018,37.0,__biscuits
"free to play, indie, rpg, strategy",2018,37.0,76561198052851877
"free to play, indie, rpg, strategy",2018,37.0,dan_skaf
"free to play, indie, rpg, strategy",2018,37.0,cheltenham98
"free to play, indie, rpg, strategy",2018,37.0,76561198122867779
"free to play, indie, rpg, strategy",2018,37.0,frank_1999
"free to play, indie, rpg, strategy",2018,37.0,DocFortress
"free to play, indie, rpg, strategy",2018,37.0,breakleaf
"free to play, indie, rpg, strategy",2018,37.0,MarkoUbi
"free to play, indie, rpg, strategy",2018,37.0,itsfilfyd
"free to play, indie, rpg, strategy",2018,37.0,jaky333
"free to play, indie, rpg, strategy",2018,37.0,dream2506
"free to play, indie, rpg, strategy",2018,37.0,76561198104212010
"free to play, indie, rpg, strategy",2018,37.0,medusameows
"free to play, indie, rpg, strategy",2018,37.0,76561198060678959
"free to play, indie, rpg, strategy",2018,37.0,76561198049272839
"free to play, indie, rpg, strategy",2018,37.0,Shaa-Li
"free to play, indie, rpg, strategy",2018,37.0,thepandabearnz1234
"free to play, indie, rpg, strategy",2018,37.0,Practical_Bears
"free to play, indie, rpg, strategy",2018,37.0,Killstreakz
"free to play, indie, rpg, strategy",2018,37.0,theprettybunch
"free to play, indie, rpg, strategy",2018,37.0,76561198054748198
"free to play, indie, rpg, strategy",2018,37.0,noodleking645
"free to play, indie, rpg, strategy",2018,37.0,HippoPanda
"free to play, indie, rpg, strategy",2018,37.0,rielle20
"free to play, indie, rpg, strategy",2018,37.0,PajaSampoerna
"free to play, indie, rpg, strategy",2018,37.0,76561198076284786
"free to play, indie, rpg, strategy",2018,37.0,76561198080118589
"free to play, indie, rpg, strategy",2018,37.0,cwalk128
"free to play, indie, rpg, strategy",2018,37.0,MagmaCIaw
"free to play, indie, rpg, strategy",2018,37.0,marcusd101
"free to play, indie, rpg, strategy",2018,37.0,djorpheusmusic
"free to play, indie, rpg, strategy",2018,37.0,76561198113767906
"free to play, indie, rpg, strategy",2018,37.0,76561198118697312
"free to play, indie, rpg, strategy",2018,37.0,76561198158553602
"casual, free to play, indie, simulation, sports",2017,0.0,HAramabeeHarrrisssooon
"casual, free to play, indie, simulation, sports",2017,0.0,76561198054767146
"casual, free to play, indie, simulation, sports",2017,0.0,76561198070315347
"casual, free to play, indie, simulation, sports",2017,0.0,VanClash
"casual, free to play, indie, simulation, sports",2017,0.0,McCatson
"action, adventure, casual",2017,309.0,phrostb
"action, adventure, casual",2017,309.0,bindisposerer
"action, adventure, casual",2017,309.0,HNSNGIRAFFE
"action, adventure, casual",2017,309.0,76561198070700359
"action, adventure, casual",2017,309.0,MurctehGr8
"action, adventure, casual",2017,309.0,squidamus
"action, adventure, casual",2017,309.0,muskieratboi
"action, adventure, simulation",2018,567.0,76561198089393905
"action, adventure, simulation",2018,567.0,possessioniskey
"action, adventure, simulation",2018,567.0,advenger95
"action, adventure, simulation",2018,567.0,76561198069560699
"action, adventure, simulation",2018,567.0,armouredmarshmallow
"action, adventure, simulation",2018,567.0,assassin_warman
