release_year,sentiment_analysis
2018,2
2018,2
2018,1
2018,1
2018,2
2018,1
2018,2
2018,0
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,0
2018,1
2018,0
2018,2
2018,2
2018,1
2018,2
2018,2
2018,0
2018,2
2018,2
2018,1
2018,2
2018,2
2018,2
2018,2
2018,0
2018,2
2018,2
2018,2
2018,2
2018,2
2018,0
2018,1
2018,1
2018,2
2018,2
2018,1
2018,2
2017,2
2017,1
2017,2
2017,2
2017,0
2017,2
2017,2
2017,2
2017,2
2017,0
2017,0
2017,0
2018,0
2018,2
2018,0
2018,2
2018,2
2018,0
2018,1
2018,2
2018,1
2018,2
2018,2
2018,2
2018,1
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,1
2018,0
2018,0
2018,1
2018,2
2018,2
2018,2
2018,2
2018,2
2018,1
2018,2
2018,2
2018,2
2018,2
2018,1
2018,0
2018,1
2018,1
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,0
2018,2
2018,2
2018,2
2018,2
2018,2
2018,0
2018,0
2018,2
2018,2
2018,2
2018,2
2018,2
2018,0
2018,2
2018,1
2018,1
2018,2
2018,2
2018,2
2018,1
2018,2
2018,2
2018,0
2018,1
2018,2
2018,2
2018,1
2018,2
2018,2
2018,1
2018,2
2018,2
2018,1
2018,1
2018,2
2018,2
2018,2
2018,0
2018,2
2018,0
2018,0
2018,2
2018,2
2018,0
2018,0
2018,2
2018,0
2018,2
2018,0
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,1
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,0
2018,2
2018,1
2018,2
2018,2
2018,0
2018,2
2018,0
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,1
2018,2
2018,2
2018,1
2018,2
2018,1
2018,2
2018,0
2018,2
2018,2
2018,2
2018,2
2018,2
2018,2
2018,1
2018,1
2018,2
2018,2
2018,2
2018,2
2018,1
2018,2
2018,0
2018,2
2018,2
2018,1
2018,2
2018,0
2018,2
2018,0
2018,2
2018,1
2018,2
2018,2
2018,0
2018,1
2018,1
2018,0
2018,2
2018,2
2018,1
2018,2
2018,2
2018,2
2018,2
2018,1
2018,1
2018,2
2018,2
2018,2
2018,2
2018,1
2018,2
2018,1
2018,2
2018,0
2018,2
2018,1
2018,1
2018,2
2018,2
2018,1
2018,0
2018,2
2018,2
2018,2
2018,0
2018,0
2018,2
2018,1
2018,1
2018,2
2018,0
2018,2
2018,2
2018,2
2018,2
2018,2
2018,1
2018,2
2018,1
2018,2
2018,0
2018,0
2018,2
2018,2
2018,2
2018,2
2018,0
2018,1
2018,1
2018,1
2018,2
2018,2
2018,2
2018,2
